Unnamed: 0,title,text,label
0,Scientists Discover New Planet in Our Solar System,"Astronomers have announced the discovery of a new planet in our solar system. The planet, named X-7, was found using advanced telescope technology. This discovery could change our understanding of the solar system.",REAL
1,Breaking: Aliens Contact Earth Government,"In a shocking development, government officials have confirmed that aliens have made contact with Earth. The aliens are said to be friendly and want to share advanced technology. A press conference is scheduled for next week.",FAKE
2,New Study Shows Benefits of Exercise,A recent study published in the Journal of Health Sciences shows that regular exercise can significantly improve mental health. The study followed 1000 participants over 5 years and found consistent benefits.,REAL
3,Celebrity Claims to Have Supernatural Powers,A famous celebrity has revealed they have the ability to read minds and predict the future. Scientists are baffled by this claim. The celebrity plans to demonstrate these powers on live television next month.,FAKE
4,Climate Change Report Released,The latest climate change report from the United Nations shows that global temperatures are rising faster than previously predicted. Scientists warn that immediate action is needed to prevent catastrophic consequences.,REAL
5,Secret Government Program Controls Weather,"Leaked documents reveal that the government has been controlling the weather for decades using secret technology. Hurricanes, droughts, and floods are all allegedly orchestrated by this program.",FAKE
6,Technology Company Announces New Product,A major technology company has announced a revolutionary new product that will change how we interact with computers. The product uses artificial intelligence to understand natural language commands.,REAL
7,Doctors Discover Cure for All Diseases,"Medical researchers have found a single cure that works for all diseases including cancer, diabetes, and heart disease. The cure will be available to the public next month. Pharmaceutical companies are trying to suppress this information.",FAKE
8,Economic Growth Reported This Quarter,The latest economic data shows strong growth in the last quarter. Unemployment rates have decreased and consumer spending is up. Economists are optimistic about the future.,REAL
9,Ancient Civilization Found Under Ocean,"Archaeologists have discovered an ancient civilization that existed 10,000 years ago under the ocean. The civilization had advanced technology that we still don't understand. The government is keeping this discovery secret.",FAKE
10,New Educational Program Launched,A new educational program has been launched to help students learn coding and computer science. The program is free and available to all students. It includes online courses and hands-on projects.,REAL
11,Time Travel Machine Invented,A scientist has successfully created a time travel machine and has traveled to the future. The machine can transport people to any point in time. The government has taken control of the technology.,FAKE
12,Sports Team Wins Championship,"In an exciting match, the local sports team won the national championship. Thousands of fans celebrated in the streets. The team's victory marks their third championship in five years.",REAL
13,Mind Control Technology Revealed,Secret documents show that the government has been using mind control technology on citizens through television and radio signals. This technology can make people think and act in specific ways without their knowledge.,FAKE
14,New Public Transportation System Opens,The city has opened a new public transportation system that will reduce traffic congestion. The system includes new bus routes and train lines. It is expected to serve thousands of commuters daily.,REAL
15,World Leaders Are Actually Reptiles,A conspiracy theory claims that world leaders are actually shape-shifting reptiles from another planet. They have been controlling human society for centuries. Evidence includes strange behavior and unusual physical characteristics.,FAKE
16,Research Shows Benefits of Reading,A new research study demonstrates that reading regularly can improve cognitive function and reduce stress. The study followed participants for two years and found significant improvements in memory and focus.,REAL
17,Vaccines Contain Microchips,A leaked report reveals that vaccines contain microchips that allow the government to track people. These microchips are invisible and cannot be detected. The purpose is to monitor and control the population.,FAKE
18,New Renewable Energy Project Announced,A major renewable energy project has been announced that will provide clean electricity to thousands of homes. The project uses solar and wind power. It is expected to reduce carbon emissions significantly.,REAL
19,Earth is Actually Flat,"A group of scientists has proven that the Earth is actually flat, not round. All the evidence for a round Earth has been fabricated by NASA and other organizations. The real shape of Earth has been hidden from the public.",FAKE
